Warehouse ID,Product Name,SKU,Expiry Date,Bin ID,Inventory Movement Type,Normal Quantity,Damaged Quantity,Expired Quantity,Missing Quantity
32154,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Pack of 4)",PCRPCRGNO00000018,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Sandal & Turmeric Soap, 100 gm (Pack of 4)",BTSBDCGNO00000001,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Sandal & Turmeric Soap, 100g Buy 4 get 1 Free",BBSPCRGNO00000026,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Buy 4 Get 1 Free)",BTSBDCGNO00000007,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Lime and Aloe Vera Soap,100g (Pack of 4)",PCRPCRGNO00000008,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Lime and Aloe Vera Soap, 100g Buy 3 Get 1 Free",PCRPCRGNO00000014,31/03/21,V2VZ01SR001-0001,In,2,0,0,0
32154,"Godrej No.1 Lime and Aloe Vera Soap, 100g (Buy 4 Get 1 Free)",BTSBDCGNO00000008,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Jasmine  and Milk cream Soap, 100g (Pack of 4)",PCRPCRGNO00000001,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Jasmine Soap, 100g (Pack of 4)",PCRPCRGNO00000013,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Jasmine and Milk Cream Soap, 100g (Pack of 4",PCRPCRGNO00000023,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Jasmine and Milk Cream Soap, 100g Buy 4 get 1 Free",BBSPCRGNO00000027,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Jasmine  and Milk cream Soap, 100g (Buy 4 Get 1 Free)",BTSBDCGNO00000006,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Aloe Vera and White Lily Soap, 100g (Pack of 4)",PCRPCRGNO00000007,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Aloe Vera and White Lily Soap,100g (Pack of 4)",PCRPCRGNO00000012,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Aloe Vera and White Lily Soap,100g (Pack of 4)",BTSBDCGNO00000016,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,Godrej Aloe vero & White lily soap 100 Gm ( Buy 4 get 1 free ),BTSBDCGNO00000018,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Godrej No.1 Coconut and Neem Soap, 100g (Pack of 4)",PCRPCRGNO00000017,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Godrej No.1 Coconut and Neem Soap, 100g (Buy 4 Get 1 Free)",BDCHPCGNO00000002,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000006,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
32154,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000011,31/03/21,V2VZ01SR001-0001,In,0,0,0,0
