product_gf_code,product_name,product_sku,Available,Damaged,Expired,MRP
GF00071_2,"Godrej No.1 Sandal & Turmeric, 63 g (Pack of 4)",BTSBDCGNO00000020,0,0,0,40.00
GF00073,"Godrej Nupur Mehendi, 25gm",PCRPCRGNU00000002,120,0,0,15.00
GF00075,"Godrej Nupur Mehendi, 50gm",PCRPCRGNU00000001,0,2,0,35.00
GF00082,Good knight Advanced Fast Card,HOKHOKGGN00000001,627,0,0,10.00
GF00097,"Amul Masti Buttermilk, 200 ml",BEVBEVKOL00000005,0,0,0,10.00
GF00097_1,"Amul Masti Buttermilk, 200 ml",JMTBNCAMU00000001,73,1,0,12.00
GF00099,"Amul Kool Kesar, 200 ml",BEVBEVKOL00000001,0,0,0,
GF00100,"Amul Kool Elaichi, 200 ml",BEVBEVKOL00000002,0,0,0,25.00
GF00101,"Amul Kool Rose, 200 ml",BEVBEVKOL00000003,0,0,0,25.00
GF00101_1,"Amul Kool Rose, 180 ml (Mrp 20)",BVRBNCKOL00000002,0,0,0,20.00
GF00102,"Amul Kool Badam, 200 ml",BEVBEVKOL00000004,0,0,0,25.00
GF00103,"Amul Kool Koko Pet, 200mL",BEVBEVAMU00000001,60,0,0,25.00
GF00104,"Amul Kool Cafe Pet, 200mL",BEVBEVAMU00000002,0,1,0,25.00
GF00115,"Amulspray Infant Powder Tin, 1 Kg",BBFINFASP00000002,0,0,0,
GF00115_1,"Amulspray Infant Powder Tin, 1 Kg",BFDGCYAMU00000001,0,0,0,365.00
GF00115_2,"Amulspray Infant Powder Tin, 1 Kg",IFDPROAMU00000002,0,0,0,380.00
GF00115_3,"Amulspray Infant Powder Tin, 1 Kg",IFDPROAMU00000003,97,0,0,395.00
GF00125,"Amul Fresh Cream Tetra, 1Ltr",BREBREAMU00000002,0,0,0,
GF00126,"Amul Fresh Cream Tetra, 250 mL",BREBREAMU00000001,0,0,0,57.00
GF00126_1,"Amul Fresh Cream Tetra, 250 mL",GRSGRSAMU00000010,0,0,0,59.00
GF00126_2,"Amul Fresh Cream Tetra, 250 mL",BFDSNGAMU00000002,0,0,0,61.00
GF00126_3,"Amul Fresh Cream Tetra, 250 mL",BFDSNGAMU00000004,450,0,0,63.00
GF00137,"Hair & Care Fruit Oils Green, 100 ml",PCRPCRHNC00000004,15,1,0,60.00
GF00137_1,"Hair & Care Fruit Oils Green, 100 ml",PCRPCRHNC00000002,0,0,0,50.00
GF00138_1,"Hair & Care Fruit Oils Green, 200 ml",PCRPCRHNC00000005,0,0,0,115.00
GF00139_1,"Hair & Care Fruit Oils Green, 300 ml",PCRPCRHNC00000001,0,0,0,155.00
GF00139_2,"Hair & Care Fruit Oils Green, 300ml free Dettol Orignal, 75gm",HROHARHNC00000001,0,0,0,155.00
GF00140_1,"Hair & Care Fruit Oils Green, 50 ml",PCRPCRHNC00000003,170,0,0,32.00
GF00141_1,"Hair & Care Fruit Oils Green, 500 ml",PCRPCRHNC00000006,18,0,0,250.00
GF00150,"Livon Serum,20 ml",PCRPCRLIV00000002,0,0,0,60.00
GF00151_1,"Livon Serum,50 ml",PCRPCRLIV00000001,0,0,0,140.00
GF00152,"Mediker Anti Lice Treatement Shampoo, 50 ml",PCRPCRMED00000001,0,0,0,50.00
GF00153,Mediker Anti Lice Treatement Hair Oil - 50 ml,PCRPCRMED00000002,0,0,0,34.00
GF00154_1,"Nihar Naturals Shanti Amla Badam Hair Oil, 300 ml",PCRPCRNIH00000001,0,0,0,88.00
GF00154_2,"Nihar Naturals Shanti Amla Badam Hair Oil, 300 ml",PCRPCRNIH00000003,0,0,0,99.00
GF00155_1,"Nihar Naturals Shanti Amla Badam Hair Oil, 500 ml",PCRPCRNIH00000004,0,0,0,155.00
GF00156,"Nihar Naturals Shanti Amla Badam Hair Oil, 80 ml",PCRPCRNIH00000002,0,0,0,20.00
GF00170,"Parachute Coconut Oil,100 ml Flip top",GRSGRSPAR00000005,0,0,0,39.00
GF00170_1,"Parachute Coconut Oil,100 ml Flip top",OGCSNGPAR00000007,0,0,0,34.00
GF00171,"Parachute Coconut Oil,100 ml Easy Jar",GRSGRSPAR00000004,0,0,0,41.00
GF00177,"Parachute Coconut Oil, 200 ml Easy Jar",PCRPCRPAR00000006,0,0,0,73.00
GF00177_1,"Parachute Coconut Oil Jar, 200 ml",GRSGRSPAR00000016,0,0,0,90.00
GF00177_2,"Parachute Coconut Oil,200 ml Easy Jar",GRSGRSPAR00000001,0,0,0,89.00
GF00177_3,"Parachute Coconut Oil, 200 ml Easy Jar",HROHARPAR00000006,0,0,0,82.00
GF00187,"Parachute Advansed Coconut Hair Oil, 175 ml",PCRPCRPAR00000003,0,0,0,95.00
GF00189_1,"Parachute Advansed Coconut Hair Oil, 75 ml",PCRPCRPAR00000002,0,0,0,55.00
GF00192,"Parachute Advansed Jasmine Coconut Hair Oil, 200 ml",PCRPCRPAR00000005,0,0,0,92.00
GF00193,"Parachute Advansed Jasmine Coconut Hair Oil, 300 ml",PCRPCRPAR00000004,73,4,0,135.00
GF00193_1,"Parachute Advansed Jasmine Coconut Hair Oil, 300 ml",HROHARPAR00000001,0,0,0,125.00
GF00195,"Parachute Advansed Jasmine Hair Oil,90 ml",PCRPCRPAR00000001,0,0,0,44.00
GF00195_1,"Parachute Advansed Jasmine Hair Oil,90 ml",HPCHPCPAR00000002,0,0,0,45.00
GF00195_2,"Parachute Advansed Jasmine Hair Oil,90 ml",HPCHPCPAR00000003,0,0,0,42.00
GF00195_3,"Parachute Advansed Jasmine Hair Oil,90 ml",HROHARPAR00000007,23,0,0,38.00
GF00198,"Parachute Coconut Oil, 50ml Flip Top",GRSGRSPAR00000008,68,0,0,20.00
GF00199,"Revive Anti Bacterial Instant Starch, 200 gm",HOKHOKREV00000001,0,0,0,65.00
GF00200_1,Revive Anti Becterial Instant Starch 400 gm- JAR,HOKHOKREV00000006,0,0,0,125.00
GF00201,"Revive Anti Bacterial Instant Starch,50 gm",HOKHOKREV00000003,0,0,0,17.00
GF00202,"Revive Liquid, 100 gm",HOKHOKREV00000002,0,0,0,30.00
GF00202_1,"Revive Liquid, 95 gm",LSRLQCREV00000002,0,0,0,34.00
GF00203,"Revive Liquid, 200 gm",HOKHOKREV00000004,0,0,0,71.00
GF00203_1,"Revive Liquid, 200 gm",LSRLQCREV00000003,0,0,0,71.00
GF00204_1,"Revive Liquid Stifferner, 400 gm Bottle",HOKHOKREV00000005,0,0,0,129.00
GF00204_2,"Revive Liquid Stifferner, 400 gm Bottle",HNKHNKREV00000001,0,0,0,124.00
GF00204_3,"Revive Liquid Stifferner, 400 gm Bottle",LSRLQCREV00000001,0,0,0,129.00
GF00205,Saffola Masala Oats Chinese - 39 gm (MRP-18),BREBRESOA00000009,0,0,0,
GF00206,Saffola Masala Oats Classic Masala - 39 gm (MRP-15),BREBRESOA00000008,10,0,0,15.00
GF00208,Saffola Masala Oats Italian - 39 gm (MRP-18),BREBRESOA00000007,0,0,0,
GF00210,Saffola Masala Oats Veggie Twist - 39 gm (MRP-15),BREBRESOA00000006,3,0,0,15.00
GF00212,Saffola Masala Oats Pongal - 39 gm (MRP-15),BREBRESOA00000005,0,0,0,
GF00215,Saffola Oats - 400 gm  (MRP-77),BREBRESOA00000001,0,0,0,77.00
GF00217,Saffola Tangy Chaat Masala Oats - 39 gm (MRP-15),BREBRESOA00000002,0,0,0,
GF00222,"Saffola  Active Edible Oil Pouch, 1 Ltr",GRSGRSSOI00000009,0,0,0,135.00
GF00224,"Saffola  Gold Edible Oil Pouch, 1 Ltr",GRSGRSSOI00000007,0,0,0,159.00
GF00224_1,"Saffola Gold Pouch, 1 Ltr",GRSGRSSOI00000012,5816,0,0,139.00
GF00226,"Saffola  Gold Edible Oil  Jar, 2 Ltr",GRSGRSSOI00000006,0,0,0,325.00
GF00228,"Saffola  Tasty Edible Oil Pouch, 1 Ltr",GRSGRSSOI00000005,8,0,0,135.00
GF00229,"Saffola  Tasty Edible Oil Jar, 5 Ltr",GRSGRSSOI00000004,0,0,0,680.00
GF00230,"Saffola  Total Edible Oil Jar, 1 Ltr",GRSGRSSOI00000003,0,0,0,
GF00232,"Saffola  Total Edible Oil Jar, 2 Ltr",GRSGRSSOI00000002,0,0,0,400.00
GF00254,Saffola  Gold - 5 L Jar+ 1 Ltr Free,GRSGRSSOI00000010,0,0,0,799.00
GF00254_1,Saffola  Gold - 5 L Jar+ 1 Ltr Free,GRSGRSSOI00000011,0,0,0,825.00
GF00262,"Set Wet Cool Hold Hair Gel, 100 ml",PCRPCRSWT00000005,0,0,0,100.00
GF00262_1,"Set Wet Cool Hold Hair Gel, 100 ml+Set Wet Citrus Blast Deo 20 Ml Free",HGSHARSWT00000002,0,0,0,100.00
GF00263,"Set Wet Cool Hold Hair Gel, 50 ml",PCRPCRSWT00000004,0,0,0,50.00
GF00263_1,"Set Wet Cool Hold Hair Gel, 50 ml+30% Extra",HGSHARSWT00000001,22,0,0,50.00
GF00265,"Set Wet Vertical Hold Hair Gel, 100 ml",PCRPCRSWT00000003,0,0,0,100.00
GF00266,"Set Wet Vertical Hold Hair Gel, 50 ml",PCRPCRSWT00000002,36,0,0,50.00
GF00268,"Set Wet Wet Look Hair Gel, 50 ml",PCRPCRSWT00000001,42,0,0,50.00
GF00313,"Parle Premium Rusk Real Elaichi, 200 gm",BSCBSCPAR00000019,56,0,0,30.00
GF00327,"Patanjali ALOEVERA KANTI BODY CLEANSER,150 GM",PCRPCRPAT00000008,0,0,0,28.00
GF00328,"Patanjali ALOEVERA KANTI BODY CLEANSER, 75 GM",PCRPCRPAT00000007,0,1,0,15.00
GF00332,"Patanjali AMLA HAIR OIL, 100 ML",PCRPCRPAT00000006,3,0,0,40.00
GF00340,"Patanjali DANT KANTI NATURAL TOOTHPASTE, 100 GM",PCRPCRPAT00000005,0,0,0,40.00
GF00340_1,"Patanjali DANT KANTI NATURAL TOOTHPASTE, 100 GM",THPDCRPAT00000001,0,0,0,42.00
GF00340_3,"Patanjali Dant Kanti Natural, 100 gm",THPDCRPAT00000011,0,0,0,45.00
GF00341,"Patajnali Dant Kanti Dental Cream Natural, 20 gm",PCRPCRPAT00000010,0,0,0,10.00
GF00342,"Patanjali DANT KANTI DENTAL CREAM Natural, 200 gm",PCRPCRPAT00000002,0,0,0,75.00
GF00342_1,"Patanjali Dant Kanti Dental Cream Natural, 200gm + 100gm paste with Toothbrush",THPDCRPAT00000003,0,0,0,112.00
GF00342_2,"Patanjali DANT KANTI DENTAL CREAM Natural, 200 gm",THPDCRPAT00000005,0,0,0,80.00
GF00342_3,"Patanjali Dant Kanti TP Family Pack, 200 + 100 gm TB (MRP 119)",THPDCRPAT00000006,0,0,0,119.00
GF00344,"Patajnali Dant Kanti Natural Toothpaste, 50 gm",PCRPCRPAT00000012,0,0,0,20.00
GF00352,"Patanjali KESH KANTI AMLA HAIR OIL,100 ml",PCRPCRPAT00000001,0,0,0,40.00
GF00355,"Patajnali Neem Tulsi Face Wash, 60 gm",PCRPCRPAT00000011,0,0,0,45.00
GF00356,"Patanjali POPULAR DETERGENT CAKE, 125 GM",HOKHOKPAT00000006,0,0,0,6.00
GF00357,"Patanjali POPULAR DETERGENT CAKE, 250 GM",HOKHOKPAT00000005,0,0,0,12.00
GF00362,"Patanjali SAUNDARYA FACE WASH, 60 GM",PCRPCRPAT00000004,0,0,0,60.00
GF00363,"Patanjali SUPERIOR DETERGENT CAKE,125 GM",HOKHOKPAT00000007,0,0,0,8.00
GF00364,"Patanjali SUPERIOR DETERGENT CAKE, 250 GM",HOKHOKPAT00000004,0,0,0,16.00
GF00368,"Patanjali SUPERIOR DETERGENT POWDER, 500 GM",HOKHOKPAT00000003,0,0,0,35.00
GF00369,"Nimbooz Masala Soda, 600ml",BEVBEVNIM00000001,0,5,0,35.00
GF00372,"Nimbooz, 350 ml ",BEVBEVNIM00000002,0,0,0,20.00
GF00377,"Mirinda, 2Ltr",BEVBEVMIR00000004,0,0,0,85.00
GF00379,"Mirinda, 1.25 Ltr",BEVBEVMIR00000005,0,0,0,60.00
GF00380,"Mirinda, 600 Ml",BEVBEVMIR00000003,0,0,0,35.00
GF00381,"Mountain Dew, 600 ml",BEVBEVMDE00000005,17,0,0,35.00
GF00384,"Mountain Dew, 2 Ltr",BEVBEVMDE00000004,0,0,0,85.00
