Warehouse ID,Product Name,SKU,Expiry Date,Bin ID,Inventory Movement Type,Normal Quantity,Damaged Quantity,Expired Quantity,Missing Quantity
32154,CRAX MAST MOONGPHALI (Mrp 5),NKMSNKCRX00000024,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Catch Chat Masala Sprinkle, 100 gm",SNGSNGCAT00000009,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Pansari Till Oil, 1 ltr",SNGSNGPAN00000003,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Pansari Dalia, 500 gm",SNGSNGPAN00000008,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Guru Bhog Chakki Atta 5 Kg,ALFSNGGRB00000003,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Aashirvaad Shudh Chakki Atta, 10 Kg",ALFSNGAAS00000002,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Babaji Mustard Oil 2 Ltr,SNGSNGBAB00000008,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"PAN Sooji, 500 gm",SNGSNGPBS00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"PAN Sooji, 500 gm",ALFSNGPBS00000002,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"PAN Maida, 500 gm",SNGSNGPBS00000002,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"PAN Maida, 500 gm",ALFSNGPBS00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"PAN Daliya, 500 gm",SNGSNGPBS00000003,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Gainda white Disinfectant, 1 ltr",LBCLQCGPH00000004,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Gainda Shine-X, 500 ml",LBCLQCGPH00000010,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Coke, 750 ml",BEVBEVCOC00000011,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Sprite, 750 ml",BEVBEVSPR00000011,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Thums Up, 750 ml",BEVBEVTHU00000011,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Britannia Marie Gold, 89gm",BSCBSCBRI00000025,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Britannia Marie Gold, 250gm",BSCBSCBRI00000026,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Knorr Cupsoup Hot & sour 11 Gm,SASPROHUL00000005,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Haldiram Lite Mixture, 50gm (MRP 10)",NKMPROHAL00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Haldiram Lite Mixture, 25gm (MRP 5)",NKMPROHAL00000002,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"MDH Lal Mirch Powder, 200 gm",SCSSNGMDH00000036,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Tops Custard Powder Strawberry,100 gm BX(30% Extra)",BKDPROTOP00000033,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Kissan Mixed Fruit Jam 500gm,SASPROKIS00000002,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Maggi Veg Masala Atta Noodles, 72.5 Gm",NDPPROMAG00000015,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Mario Rusk Suji Toast 74 gm (Mrp 10),BICPROMAR00000004,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Mirinda, 2.25 Ltr",BEVBEVMIR00000006,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Domex Toilet Cleaner 500ml,CNDCNDDOM00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Bakkii Jeera Cookies 200 g,BICPROBAK00000035,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Catch Amchur Powder 50 G,SCSSNGCAT00000016,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Catch Kashmiri Mirch Powder 50 G,SCSSNGCAT00000064,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Catch Sambhar Masala 50 G,SCSSNGCAT00000035,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,PANTENE SHMP HAIR FALL CONTROL 180ml,SHMHARPNG00000004,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Bikano Besan Laddu Special 400 gm,NKMPROBIK00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Bikano Navratan Mix 85 gm,NKMPROBIK00000032,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Bikano Shahi Mixture,75 gm",NKMPROBIK00000033,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Fortune Regular Chakki Atta , 5 KG",ALFSNGFOR00000005,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Fortune Chana Besan Gargara Pouch, 500 gm",GRSGRSFOR00000013,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,"Fortune Soya Bari Pouch, 45 gm",GRSGRSFOR00000014,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Kabuli Chana (Green) 30 Kg,PLBSNGLDA00000011,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
32154,Shakti Bhog Atta 10kg,ALFSNGSKT00000001,31/03/21,V2VZ01SR001-0001,In,1,0,0,0
