Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
17784,PKPPROTOP00000121,Tops Gold Sweet Mango Chutney 500Gm,PPKPTOP0014,Tops Gold Sweet Mango Chutney 500Gm,active,132
17783,PKPPROTOP00000120,Tops Green Chilli Pickle 400Gm,PPKPTOP0016,Tops Green Chilli Pickle 400Gm,active,110
17782,HNKHNKSRF00000019,Surf Excel Matic Front Load 1Kg,PHNKHUL0202,Surf Excel Matic 1Kg,active,235
17781,HNKHNKSRF00000018,Surf Excel Matic Top Load Box 1Kg,PHNKHUL0204,Surf Excel Matic Top Load 1 Kg,active,192
17780,HPCHPCDOV00000062,V WASH PLUS 100 ML,PHPCVWS0014,V Wash 100 ml,active,180
17779,HPCHPCDOV00000061,DOVE SOAP B4G1,PHPCHUL1454,"Dove Beauty Cream Bar (4+1) 500 gm,",active,265
17765,BICPROPAT00000009,"Patanjali Doodh Biscuites, 200 gm",PBICPAT0002,"Patanjali Doodh Biscuites, 90 gm",active,35
17764,BICPROBRI00000067,Britannia Good Day Chocochip 100 gm,PBICBRI0008,Britannia Good Day Chocochip 100 gm,active,30
17762,TNCBNCTTE00000041,Tata Tea Agni 250 gm,PTNCTAT0018,Tata Tea Agni 250 gm,active,55
17760,HMIHNKLOC00000062,Yellow Dash Cloth 2P,PHMILOC0002,Yellow Dash Cloth 2P,active,29
17759,HMIHNKSCO00000003,Scotch Bright Floor Mop,PHMIMMM0002,Scotch Bright Floor Mop,active,115
17758,HMIHNKLOC00000061,Aro Dustpan Stand Var,PHMILOC0004,Aro Dustpan Stand Var,active,39
17757,HMIHNKLOC00000060,Aro Grass Broom Popular ,PHMIUNB0002,BROOM,active,110
17756,FSPBDCENG00000021,Engage Floral Fresh Pocket Purfumme 17 ml,PFSPITC0006,Engage ON Floral Fresh 18.8ml,active,60
17755,SHMHARDOV00000028,Dove Shampoo Oxygen Moisture Bt 180 ml,PSHMHUL0002,DOVE OXY MOISTURE SHAMP 340ML,active,145
17754,HFWBDCLIF00000022,"Lifebuoy Total 10 Handwash Pump, 240 Ml",PHFWHUL0020,Lifebuoy Total 10 Handwash 185 ml,active,65.3
17753,BTSBDCLIF00000017,"Lifebuoy Total Soap, 100 gm (Pack Of 3)",PBTSHUL0028,Lifebuoy Total Soap 100 gm (Pack of 3),active,54
17750,BFDSNGAMU00000022,Amul Tadka Chach 500 ml,PDAIAMU0016,Amul Tadka Chach 500 ml,active,12
17749,SHMHARTRE00000008,Tresemme Hairfall Defense Shamp 500 ml,PHPCHUL1612,TRESEMME HAIR FALL DEFENSE SHAMPOO185ML,active,433.7
17746,THPDCRCOL00000036,Colgate Maxfresh Cooling Crystals Red Gel 150+150 Gm,PTHPCOL0008,Colgate Maxfresh Cooling Crystals Mega Save 150 +150 Gm,active,170
17745,HMIHNKGAL00000004,Gala Ezee Squezee Stand,PHMIGAL0002,Gala Ezee Squezee Stand,active,110.49
17744,HMIHNKLOC00000059,NS Granite kadai IB 240 MM,PHMILOC0006,NS Granite kadai IB 240 MM,active,99.01
17743,SGSSOCKIW00000009,Kiwi Express Shine Sponge Black 5 ml,PSGSSCJ0002,Kiwi Express Shine Sponge Black,active,72
17742,LIDLQCSRF00000005,Surf Excel Matic Liquid Top Load 1 kg,PHNKHUL0226,SURF EXCEL MATIC LIQUID 1LT,active,199
17741,HFWBDCGAR00000014,Garnier Men Acno Fight Face Wash 100Gm,PHFWGAR0010,Garnier Face Wash Acno Fight Men Tube 100 gm,active,190
17740,HFWBDCGAR00000013,Garnier Men Acno Fight Facewash 50Gm,PHFWGAR0006,Garnier Men Acno Fight Facewash 50 gm,active,99
17738,BTSBDCSAN00000001,Santoor Soap Orange Milk 125 gm Pack of 4,PBTSSAN0006,Santoor Sandal & Turmeric Total Skin Care Soap 125 gm Pack of 4,active,123.33
17737,HFWBDCLIF00000021,Lifebuoy Naturals Handwash 200 ml,PHPCHUL1686,Lifebuoy Handwash Nature 190 Ml,active,73.22
17735,COSBDCFAL00000007,Fair N Lovely BB Cream 9 gm,PCOSHUL0014,FAL BB CR 64X9G,active,40
17734,LIDLQCUJA00000001,Ujala Liquid 75 ml,PLIDJYO0002,UJALA LIQUID 75ML,active,25
17733,LIDLQCPRI00000001,"Pril Dishwash Liquid Green, 500 ml",PLIDPRI0002,Pril Dishwash 500 ml Green,active,115
17732,SASPROVEE00000065,Veeba Pizza Topping 280 gm,PSASVEE0070,Veeba Pizza Topping,active,75
17731,SASPROVEE00000064,Veeba Classic Mayonnaise,PSASVEE0084,Veeba Classic Mayonnaise,active,69
17726,PKPPROEVR00000025,"Everin Red Chilli Pickle Jar, 500 gm",PPKPEVR0010,"Everin Red Chilli Pickle Jar, 500 gm",active,120
17725,PKPPROEVR00000024,"Everin Red Chilli Pickle Jar, 250 gm",PPKPEVR0012,"Everin Red Chilli Pickle Jar, 250 gm",active,80
