Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
15536,SNGSNGLOC00000515,SNGSNGLOC00000515,Halls Zatang Lemon & Salt 2.6 G,TRUE,NA,NA,NA,Product is Active but price not found,1
15537,BNCBNCDEN00000001,BNCBNCDEN00000001,Happy Dent Wave Strawberry Flavour,TRUE,NA,NA,NA,Product is Active but price not found,1
15551,BNCBNCLOC00000109,BNCBNCLOC00000109,Kofol Lozenges Honey Lemon,TRUE,NA,NA,NA,Product is Active but price not found,1
15553,BNCBNCLOC00000110,BNCBNCLOC00000110,Lotte Coffee Bite,TRUE,NA,NA,NA,Product is Active but price not found,1
15554,BNCBNCLOC00000111,BNCBNCLOC00000111,Lotte Eclairs Choco,TRUE,NA,NA,NA,Product is Active but price not found,1
15564,BNCBNCPAR00000005,BNCBNCPAR00000005,Melody Choclatey Candy,TRUE,NA,NA,NA,Product is Active but price not found,1
15565,BNCBNCMEN00000001,BNCBNCMEN00000001,Mentos Orange Flavour 3.4 G,TRUE,NA,NA,NA,Product is Active but price not found,1
16544,HNKHNKLOC00001562,HNKHNKLOC00001562,LOOSE DISPOSEBLE GLASS 150 ML ,TRUE,NA,NA,NA,Product is Active but price not found,1
16144,HNKHNKLOC00001318,HNKHNKLOC00001318,DIYA MITTI 1/,TRUE,NA,NA,NA,Product is Active but price not found,1
16626,HPCHPCBAD00000002,HPCHPCBAD00000002,Bajaj Cool Almond Drops 2.5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,1
16684,BNCBNCALP00000028,BNCBNCALP00000028,Center Fruit Strawberry Flavour,TRUE,NA,NA,NA,Product is Active but price not found,1
16685,BNCBNCALP00000029,BNCBNCALP00000029,Center Fruit Watermelon Flavour,TRUE,NA,NA,NA,Product is Active but price not found,1
17798,HPCHPCBAL00000006,HPCHPCBAL00000006,Bajaj Almond Drop 2.5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,1
17866,SNGSNGLOC00000813,SNGSNGLOC00000813,Baba Elaichi Silver Coated 0.15 Gm,TRUE,NA,NA,NA,Product is Active but price not found,1
17882,PROPROCRM00000005,PROPROCRM00000005,Cremica Tomato Ketchup 8 Gm,TRUE,NA,NA,NA,Product is Active but price not found,1
17966,HPCHPCNAV00000006,HPCHPCNAV00000006,Navratan Aurvedic Oil Extra Thanda 2.5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,1
18805,HPCHPCCHK00000002,HPCHPCCHK00000002,CHIK HAIRFALL EGG WHITE SHAMPOO 6ML,TRUE,NA,NA,NA,Product is Active but price not found,1
19465,PKPPROFOR00000004,PKPPROFOR00000004,Fortune Super Gold Millet Punjabi Khichdi 200gm,TRUE,NA,NA,NA,Product is Active but price not found,1
19466,PKPPROFOR00000005,PKPPROFOR00000005,Fortune Super Gold Millet Gujarati Khichdi 200gm,TRUE,NA,NA,NA,Product is Active but price not found,1
19467,PKPPROFOR00000006,PKPPROFOR00000006,Fortune Super Gold Millet Bengali Khichdi 200gm,TRUE,NA,NA,NA,Product is Active but price not found,1
15525,SNGSNGLOC00000512,SNGSNGLOC00000512,Frutin Premium Pizza Spice Mix 1N,TRUE,NA,NA,NA,Product is Active but price not found,1.5
5059,TNCBNCTAT00000002,TNCBNCTAT00000002,Tata Coffee Grand 2.1 gm,TRUE,NA,NA,NA,Product is Active but price not found,2
5613,PHGHPCMED00000001,PHGHPCMED00000001,Mediplast Faid Dressing,TRUE,NA,NA,NA,Product is Active but price not found,2
6265,HMIHNKLOC00000018,HMIHNKLOC00000018,Paper Glass,TRUE,NA,NA,NA,Product is Active but price not found,2
6284,HMIHNKLOC00000027,HMIHNKLOC00000027,Shivam Trading Balloons,TRUE,NA,NA,NA,Product is Active but price not found,2
6362,SASPROTOP00000021,SASPROTOP00000021,Tops Mix Fruit Jam 15 gm,TRUE,NA,NA,NA,Product is Active but price not found,2
6420,SHMHARHNS00000006,SHMHARHNS00000006,Head & Shoulder Shampoo Basic Clean 55 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
6421,SHMHARHNS00000007,SHMHARHNS00000007,Head & Shoulder Shampoo Basic Cool 55 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
