Parent Name ,Brand,Category,HSN,GST,Cess,Surcharge,Brand Case Size,Inner Case Size
V-Nourish Strawberry 200 gms,Veeba,beverage_and_confectionary,19011090,18%,0%,0,18,1
V-Nourish Pedia+ Strawberry Milk Mix 200 gms,Veeba,beverage_and_confectionary,19011090,18%,0%,0,18,1
Veeba CLASSIC IMLI SAUCE (100G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba CLASSIC IMLI SAUCE (360G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba CLASSIC IMLI SAUCE (500G),Veeba,processed_food,21032000,12%,0%,0,24,1
"Bikano Chatax, 34 gm with 50% Extra",BIKANO,processed_food,21069099,12%,0%,0,108,9
Veeba HOT SWEET TOMATO CHILLI SAUCE (100G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba HOT SWEET TOMATO CHILLI SAUCE (360G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba HOT SWEET TOMATO CHILLI SAUCE (500G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba TRULY TOMATO KETCHUP (100G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba TRULY TOMATO KETCHUP (360G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba TRULY TOMATO KETCHUP (500G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba TRULY TOMATO KETCHUP (900G),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba TRULY TOMATO KETCHUP (1KG),Veeba,processed_food,21032000,12%,0%,0,24,1
Veeba NO ADDED SUGAR TRULY TOMATO KETCHUP (335G),Veeba,processed_food,21032000,12%,0%,0,24,1
"Bikano Chatpat Papad, 25 gm",BIKANO,processed_food,21069099,0%,0%,0,180,15
"Bikano Chips Chatax Masala, 33.33 gm with 20%",BIKANO,processed_food,20081940,12%,0%,0,132,11
Dabur amla juice immunity booster 1L,Dabur,staple_and_grocery,802,18%,0%,0,1,1
Dabur ayush kwath kaadha immunity booster 60 gm,Dabur,staple_and_grocery,802,18%,0%,0,1,1
Dabur gluco plus-C orange enery boost 500 gm free sipper Rs 85,Dabur,home_and_kitchen,33074100,12%,0%,0,1,1
Dabur Gripe water ayurvedic medicine 125 ml,Dabur,health_and_personal_care,3304,28%,0%,0,1,1
Dabur hommade ginger garlic paste 40 % extra 35 gm,Dabur,processed_food,20019000,18%,0%,0,1,1
dabur honitos herbal cough remedy fast relief honey based ayurvedic syrup 100 ml,Dabur,processed_food,409,12%,0%,0,1,1
Dabur janma ghunti honey ayurvedic medicine 60 ml,Dabur,processed_food,409,12%,0%,0,1,1
Dabur nature care isabgol 100 gm,Dabur,beverage_and_confectionary,3004,18%,0%,0,1,1
"Bikano Chips Cream & Onion, 12.5 gm with 20%",BIKANO,processed_food,20081940,12%,0%,0,108,9
Dabur sat isabgol psyllium husk 100 gm,Dabur,beverage_and_confectionary,3004,18%,0%,0,1,1
Dabur sat isabgol psyllium husk 200 gm,Dabur,beverage_and_confectionary,3004,18%,0%,0,1,1
Dabur sat isabgol psyllium husk 50 gm,Dabur,beverage_and_confectionary,3004,18%,0%,0,1,1
Dabur shilajit gold 10 capsules free 2 capsules worth Rs 40,Dabur,beverage_and_confectionary,3004,28%,0%,0,1,1
Dabur tulsi drops immunity booster 30 ml,Dabur,staple_and_grocery,802,18%,0%,0,1,1
"Bikano Chips Simply Salted, 25 gm with 20%",BIKANO,processed_food,20081940,12%,0%,0,108,9
"Bikano Chips Simply Salted, 33.33 gm with 20%",BIKANO,processed_food,20081940,12%,0%,0,132,11
"Bikano Chips Tangy Tomato, 25 gm with 20%",BIKANO,processed_food,20081940,12%,0%,0,108,9
"Bikano Crunchy Munchy Chatani, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,132,11
"Bikano Crunchy Munchy MM, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,132,11
"Bikano Kaju Mix, 25 gm",BIKANO,processed_food,21069099,12%,0%,0,300,10
"Bikano Khatta Meetha, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,14,7
Haldiram's green chilli pickle 400 gm,Haldiram Snacks,processed_food,2001,18%,0%,0,1,1
Haldiram's javitri papad 200 gm,Haldiram Snacks,processed_food,1905,0%,0%,0,1,1
Haldiram's jeera papad 200 gm,Haldiram Snacks,processed_food,1905,0%,0%,0,1,1
Haldiram's mixed pickle 1kg ,Haldiram Snacks,processed_food,2001,18%,0%,0,1,1
"Bikano Matar Masala, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,14,7
Him gold green chilli pickle 1 kg,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold green chilli pickle 500 gm,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold green mixed pickle 1 kg,Local brand,processed_food,2103,18%,0%,0,1,1
"Bikano Moong Dal Plain, 35 gm",BIKANO,processed_food,21069099,12%,0%,0,350,10
"Bikano Navratan Mix, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,14,7
Him gold lime pickle 1 kg,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold lime pickle 500 gm,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold mango pickle 1 kg,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold mango pickle 500 gm,Local brand,processed_food,2103,18%,0%,0,1,1
Him gold mixed pickle 500 gm,Local brand,processed_food,2103,18%,0%,0,1,1
"Bikano Nutkhat Nimbu, 35 gm with 50% extra",BIKANO,processed_food,21069099,12%,0%,0,200,10
"Bikano Nutkhat Nimbu, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,300,10
"Bikano Peanut Hing Jeera, 35 gm",BIKANO,processed_food,20081100,12%,0%,0,340,10
"Bikano Peanut Nimbu Pudina, 35 gm",BIKANO,processed_food,20081100,12%,0%,0,340,10
Lipton green tea tulsi natura 1o tea bags 1.3g each,HUL,beverage_and_confectionary,9023020,12%,0%,0,1,1
"Bikano Peanut Salted, 35 gm",BIKANO,processed_food,20081100,12%,0%,0,350,10
Nestle CERELAC baby cereal with milk ragi apple 300 gm,Nestle,beverage_and_confectionary,3004,28%,0%,0,1,1
Nilon's garlic pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
"Bikano Punjabi Punch, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,240,10
Nilon's ginger garlic paste 60 gm,Nilons,processed_food,20019000,18%,0%,0,1,1
Nilon's green chilli pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's khana khazana green chilli pickle 1 kg,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's khana khazana lemon pickle 1 kg,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's khana khazana mango pickle 1 kg,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's lemon pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's mango pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's mixed pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's premium garlic pickle 200 gm,Nilons,processed_food,2103,18%,0%,0,1,1
"Bikano Shahi Mixture, 25 gm",BIKANO,processed_food,21069099,12%,0%,0,300,10
Nilon's premium green chilli  PICKLE 200 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's premium MIXED PICKLE 200 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's premium stuffed red chilli pickle 150 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani green chilli  pickle 1 kg,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani green chilli  pickle 500gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani mango  pickle 1kg,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani mango  pickle 500 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani mixed pickle 500 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's rajasthani mixed pickle 900 gm,Nilons,processed_food,2103,18%,0%,0,1,1
"Bikano Tasty, 40 gm",BIKANO,processed_food,21069099,12%,0%,0,14,7
Nilon's stuffed red chilli pickle 400 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon's sweet lemon pickle 475 gm,Nilons,processed_food,2103,18%,0%,0,1,1
Bikano Albela Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,27,1
Bikano Kids Zone Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,15,1
Patanjali chyawanprabha no added sugar 750 gm,Patanjali,processed_food,30049011,18%,0%,0,1,1
Bikano Abhinandan Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Patanjali honey 100 gm,Patanjali,processed_food,409,12%,0%,0,1,1
Bikano Bandhan Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,15,1
Bikano Tarang Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,16,1
Bikano Umang Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,15,1
Bikano Fun Box Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Baked Delight Rejoice Gift Pack,BIKANO,processed_food,19053100,18%,0%,0,14,1
Bikano Utsav Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Anupam Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,18,1
Bikano Uphar Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
"Bournvita Biscuits,  MRP 5",Mondelez,processed_food,19059020,18%,0%,0,180,1
Bikano Meetha Chatpata Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Bnadhan Sweet Gift Pack,BIKANO,processed_food,21069099,5%,0%,0,12,1
Bikano Rasmol Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Uttam Sweets Gift Pack,BIKANO,processed_food,21069099,5%,0%,0,12,1
Mother's recipe shredded sweet mango pickle choondo 500 gm,Mother's recipe,processed_food,2001,12%,0%,0,1,1
Bikano Shahi Nazrana Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,14,1
Mother's recipe green chilli pickle 400 gm,Mother's recipe,processed_food,2001,12%,0%,0,1,1
Mother's recipe gujarati gorkeri pickle sweet mango 500 gm,Mother's recipe,processed_food,2001,12%,0%,0,1,1
Mother's recipe red stuffed chilli pickle 400 gm,Mother's recipe,processed_food,2001,12%,0%,0,1,1
Mother's recipe lime pickle 400 gm,Mother's recipe,processed_food,2001,12%,0%,0,1,1
Mother's recipe tamarind paste imli paste 100gm,Mother's recipe,processed_food,21032000,12%,0%,0,1,1
Mother's recipe punjabi masala papad 200 gm,Mother's recipe,processed_food,1905,0%,0%,0,1,1
Mother's recipe garlic green chilli papad 200 gm,Mother's recipe,processed_food,1905,0%,0%,0,1,1
Bikano Anmol Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,8,1
Bikano Shahi Snagam Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Royal Gift Pack,BIKANO,processed_food,21069099,12%,0%,0,12,1
Bikano Dry Fruit Delight Gift Pack,BIKANO,processed_food,8029000,12%,0%,0,12,1
"Appy Fizz, 1 ltr",Parle Agro,beverage_and_confectionary,22029020,12%,0%,0,12,10
"TATA TEA GOLD, 1 KG",TATA,beverage_and_confectionary,910,12%,0%,0,1,12
"TATA PREMIUM, 500 GM",TATA,beverage_and_confectionary,9023020,5%,0%,0,48,2
Superbee amla murabba with honey  500 gm,Local brand,processed_food,3004,12%,0%,0,1,1
Superbee apple murabba with honey  500 gm,Local brand,processed_food,3004,12%,0%,0,1,1
Superbee gulkand with honey and elaichi 500 gm,Local brand,processed_food,409,5%,0%,0,1,1
Superbee jamun honey vinegar 500 ml,Local brand,processed_food,2103,12%,0%,0,1,1
Fric bergen honey ginger tea concentrate 24 gm,Local brand,beverage_and_confectionary,21012090,5%,0%,0,1,1
Tea valley utsah tea 250 gm,Local brand,beverage_and_confectionary,9023020,5%,0%,0,1,1
Tea valley utsah tea 36 gm,Local brand,beverage_and_confectionary,9023020,5%,0%,0,1,1
Shyam masala maida kaju 400 gm,Local brand,staple_and_grocery,801,5%,0%,0,1,1
Mother's recipe garlic paste 200gm,Mother's recipe,processed_food,20019000,12%,0%,0,1,1
Mother's recipe ginger paste 200gm,Mother's recipe,processed_food,20019000,12%,0%,0,1,1
CERELAC STAGE 2 Wheat Apple Cherry 300gm,Nestle,processed_food,19011090,18%,0%,0,24,1
Ashok ojaswini premium tea 250 gm,Local brand,beverage_and_confectionary,9021010,5%,0%,0,1,1
"Nescafe Classic Jar, 25 gm",Nestle,beverage_and_confectionary,21011120,18%,0%,0,24,1
"Nescafe Classic Dawn Jar, 50 gm",Nestle,beverage_and_confectionary,21011120,18%,0%,0,24,1
"Nescafe Sunrise Pouch, 50 gm",Nestle,beverage_and_confectionary,21011120,18%,0%,0,96,1
Uncle Chips Plain Salted (MRP 10),Pepsico,processed_food,2106,12%,0%,0,120,10
KNORR SOUPY NOODLES MAST MASALA 75G,HUL,processed_food,19024010,12%,0%,0,96,1
Dabur samshamani vati giloy ki ghanvati 40 N,Dabur,home_and_kitchen,7607,18%,0%,0,1,1
Nescafe classic coffee sachets 1.5 g,Nestle,beverage_and_confectionary,3004,18%,0%,0,1,1
"Bournvita Pouch, 500 gm + Free Bournvita 75 gm  Mrp-30",Mondelez,beverage_and_confectionary,19011090,18%,0%,0,32,1
Orbit Mixed fruit sugarfree,Mars International,beverage_and_confectionary,21069099,18%,0%,0,1,1
Brittanica aananda til rusk 30 pcs,Britannia,processed_food,210690,18%,0%,0,1,1
Balaji kati patta boondi 25 g,Bajaj Corp,processed_food,21069099,12%,0%,0,1,1
ACT II butter flavour crispy n crunchy popcorn 30 g,Act II,processed_food,2008,12%,0%,0,1,1
Amul jeera rusk 200 g,Amul,processed_food,19054000,12%,0%,0,1,1
Amul elaichi rusk 200 g,Amul,processed_food,19054000,12%,0%,0,1,1
Kellogg's corn flakes original 290 g,Kelloggs,processed_food,19041010,18%,0%,0,1,1
Kellogg's chocos fills centre filled pillows 35 g,Kelloggs,processed_food,19041010,18%,0%,0,1,1
Kellogg's muesli 21% fruit and nut 150 g,Kelloggs,processed_food,19041010,18%,0%,0,1,1
Kellogg's chocos fills centre filled pillows 17 g,Kelloggs,processed_food,19041010,18%,0%,0,1,1
Kellogg's chocos webs 23 g,Kelloggs,processed_food,19041010,18%,0%,0,1,1
Tic tac mint 7.7 g,Local brand,beverage_and_confectionary,17049010,12%,0%,0,1,1
Tic tac orange 7.7 g,Local brand,beverage_and_confectionary,17049010,12%,0%,0,1,1
Tic tac coca cola 7.7 g,Local brand,beverage_and_confectionary,17049010,12%,0%,0,1,1
Dabur pudin hara active 10 ml,Local brand,home_and_kitchen,85065000,18%,0%,0,1,1
Bar one celebrates 83 13.2 g,Local brand,beverage_and_confectionary,19053211,18%,0%,0,1,1
Swad mango pickle 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad mixed pickle 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad green chilli pickle 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad garlic pickle 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad chhundo  200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad gorkeri meeetha aam 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
Swad sweet lime 200 g,Local brand,processed_food,2001,12%,0%,0,1,1
"Bournvita Biscuits, 120gm",Mondelez,processed_food,19059020,18%,0%,0,50,1
7 star special milk rusk 275 g,Local brand,processed_food,19054000,12%,0%,0,1,1
Anuja bright green food colour 10 g,Local brand,processed_food,1902,18%,0%,0,1,1
Anuja lemon yellow food colour 10 g,Local brand,processed_food,1902,18%,0%,0,1,1
Anuja orange red food colour 10 g,Local brand,processed_food,1902,18%,0%,0,1,1
Ashuji premium namkeen crisp & tasteful 200 g,Local brand,processed_food,2106,12%,0%,0,1,1
B natural apple 200 ml,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
B natural guava 200 ml,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
B natural mango 200 ml,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
B natural litchi 200 ml,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
Ashuji raita boondi patta boondi 50 g,Local brand,processed_food,2106,12%,0%,0,1,1
Cadbury hot chocloate 20 g,Mondelez,beverage_and_confectionary,19019090,18%,0%,0,1,1
Cadbury bourn ville 70 % dark 80 g,Mondelez,beverage_and_confectionary,1901,18%,0%,0,1,1
Alpenliebe creamfills,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Alpenliebe gold,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Alpenliebe juzt jelly guava,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Kurkure chilli chatka 21.5 g,Pepsico,processed_food,2106,12%,0%,0,1,1
Kurkure chilli chatka 47 g,Pepsico,processed_food,2106,12%,0%,0,1,1
Kurkure puff corn yummy cheese 17.3 g,Pepsico,processed_food,2106,12%,0%,0,1,1
Uncle chips plain salted 15.5 g,Pepsico,processed_food,2106,12%,0%,0,1,1
Doritos nacho cheese flavour 25 g,Doritos,processed_food,210690,12%,0%,0,1,1
Chupa chups bubble gum filles lollipop 1N,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Chups chups mixed fruit flavour 26.4 g,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Mentos orange flavour 28.6 g,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Alpenliebe cream strawberry flavour 28 g,Perfetti Van Melle,beverage_and_confectionary,17049020,12%,0%,0,1,1
Unibic COOKIE Bliss 500G,UNIBIC,processed_food,19053100,18%,0%,0,6,1
Unibic Celebration 700g,UNIBIC,processed_food,19053100,18%,0%,0,6,1
Unibic Cookies Magic 300 Gm,UNIBIC,processed_food,19053100,18%,0%,0,12,1
Unibic Festive Moments 500g,UNIBIC,processed_food,19053100,18%,0%,0,12,1
FRIC BERGEN Mayonnaise 120 Gm,FRIC BERGEN,processed_food,21039030,12%,0%,0,24,1
FRIC BERGEN Sandwich Spread 120 gm,FRIC BERGEN,processed_food,21039030,12%,0%,0,24,1
FRIC BERGEN Pizza Pasta Sauce 130 Gm,FRIC BERGEN,processed_food,21032000,12%,0%,0,24,1
FRIC BERGEN Tandoori Mayo 120 Gm,FRIC BERGEN,processed_food,21039030,12%,0%,0,24,1
FRIC BERGEN Salsa Dip 120 gm,FRIC BERGEN,processed_food,21039030,12%,0%,0,24,1
FRIC BERGEN Chessy Dip 120 gm,FRIC BERGEN,processed_food,21039030,12%,0%,0,24,1
Hommade Tomato Puree 200gm,Dabur,processed_food,20029000,18%,0%,0,1,1
Hommade Ginger Garlic paste 200gm,Dabur,processed_food,20049000,12%,0%,0,1,1
"Rajdhani Vermicelli long cut, 150 gm",Rajdhani,processed_food,1902,5%,0%,0,30,1
HALDIRAM INSTANT MIX KHAMAN DHOKLA 180G,Haldiram,processed_food,21069099,18%,0%,0,1,1
HALDIRAM INSTANT MIX KHATTA DHOKLA 200G,Haldiram,processed_food,21069099,18%,0%,0,1,1
HALDIRAM INSTANT MIX RICE IDLI 200G,Haldiram,processed_food,21069099,18%,0%,0,1,1
HALDIRAM INSTANT MIX MULTIGRAIN DOSA 200G,Haldiram,processed_food,21069099,18%,0%,0,1,1
HALDIRAM INSTANT MIX RAWA DOSA 200G,Haldiram,processed_food,21069099,18%,0%,0,1,1
HALDIRAM CHIPS CLASSIC SALTED 42.50G,Haldiram,processed_food,20052000,12%,0%,0,1,1
HALDIRAM CHIPS PUDINA TREAT 42.50G,Haldiram,processed_food,20052000,12%,0%,0,1,1
"Rajdhani Banechetto Pene Pasta, 200 gm",Rajdhani,processed_food,1902,12%,0%,0,25,1
HALDIRAM CHIPS MAST MASALA 42.50G,Haldiram,processed_food,20052000,12%,0%,0,1,1
HALDIRAM CHIPS TANGY TAMATO 42.50G,Haldiram,processed_food,20052000,12%,0%,0,1,1
HALDIRAM CHIPS TANGY TAMATO 60.50G,Haldiram,processed_food,20052000,12%,0%,0,1,1
HALDIRAM SOYA KATORI 80G,Haldiram,processed_food,21069099,12%,0%,0,1,1
"Rajdhani Banechetto Fusilli, 200 gm",Rajdhani,processed_food,1902,12%,0%,0,25,2
RIO WILD BERRY FUSION DRINK 250ML,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
BINGO MAD ANGLES ACHARI MASTI 130G,ITC,processed_food,210690,12%,0%,0,1,1
MONSTER ENERGY JUICE 350ML,Local brand,beverage_and_confectionary,22029090,18%,0%,0,1,1
RIO ACAI BERRY FUSION DRINK 250ML,Local brand,beverage_and_confectionary,2202,12%,0%,0,1,1
"Rajdhani Banechetto Macaroni, 200 gm",Rajdhani,processed_food,1902,12%,0%,0,25,1
Nescafe Chilled Latte Coffee 180 Ml,Nestle,beverage_and_confectionary,3004,18%,0%,0,1,1
Nestle Bar One 24.2 G,Nestle,beverage_and_confectionary,19053211,18%,0%,0,1,1
Nestle Koko Crunch Coco Burst Cruncy In Warm Milk 35 G,Nestle,beverage_and_confectionary,19053211,18%,0%,0,1,1
Nestle Koko Krunch Strawberry Flavour Burst 500 G,Nestle,beverage_and_confectionary,19053211,18%,0%,0,1,1
Nestle Koko Krunch Strawberry Flavour Burst 250 G,Nestle,beverage_and_confectionary,19053211,18%,0%,0,1,1
Nestle Milkmaid 400 G,Nestle,beverage_and_confectionary,19053211,18%,0%,0,1,1
"Rajdhani Banechetto Pene Pasta, 500 gm",Rajdhani,processed_food,1902,12%,0%,0,10,2
Saffola Oats 100 % Natural 400 G,Marico,breakfast_dairy,21069099,18%,0%,0,1,1
"Rajdhani Banechetto Fusilli, 500 gm",Rajdhani,processed_food,1902,12%,0%,0,10,2
Sugar Free Natura 100 Pellets,Sugar Free,beverage_and_confectionary,30049062,12%,0%,0,1,1
Sugar Free Gold 18.75 Gm/25 Sachets,Sugar Free,beverage_and_confectionary,30049062,12%,0%,0,1,1
Lotte Coffy Bite Classic 23 G,Local brand,beverage_and_confectionary,1704,12%,0%,0,1,1
Lotte Cara Milk 23 G,Local brand,beverage_and_confectionary,1704,12%,0%,0,1,1
Lotte Chewits Mango Flavoured Chews 23 G,Local brand,beverage_and_confectionary,1704,12%,0%,0,1,1
"Rajdhani Banechetto Macaroni, 500 gm",Rajdhani,processed_food,1902,12%,0%,0,10,2
Dabur Chyawanprakash Sugar Free 500 Gm,Dabur,processed_food,3004,5%,0%,0,1,1
Real Fruit Power Guava Juice 1 L With Free Real Fruit Power 180 Ml Worth Rs 20,Dabur,beverage_and_confectionary,22029920,12%,0%,0,1,1
Dabur Ashwagandha 20 Capsules ,Dabur,staple_and_grocery,12024190,5%,0%,0,1,1
"Rajdhani Banechetto Macaroni, 1 kg",Rajdhani,processed_food,1902,12%,0%,0,10,1
Dabur Honey Tulsi 300 G,Dabur,processed_food,409,5%,0%,0,1,1
Cadbury Dairy Milk Bubbly 120 G,Cadbury,beverage_and_confectionary,18063200,18%,0%,0,1,1
Sundrop Peanut Spread Honey Roast 462 G,Sundrop,processed_food,20081100,12%,0%,0,1,1
Complan Pista Badam 500 Gm,Heinz,beverage_and_confectionary,4021020,18%,0%,0,1,1
Complan Royale Chocolate Flavour 18 G,Heinz,beverage_and_confectionary,4021020,18%,0%,0,1,1
Buy 11 Butter Popocorn (30gm) get 10 bhujia (12gm) Free,NeniMemi,processed_food,1005,12%,0%,0,132,11
Complan Memory 450 Gm,Heinz,beverage_and_confectionary,4021020,18%,0%,0,1,1
Complan Kesar Badam 200 Gm,Heinz,beverage_and_confectionary,4021020,18%,0%,0,1,1
Nutralite Butter 100 Gm,Nutrulite,staple_and_grocery,402,5%,0%,0,1,1
Nutralite Yummy Spread 100 G,Nutrulite,processed_food,21039030,12%,0%,0,1,1
Nutralite Butter 200 Gm,Nutrulite,staple_and_grocery,402,5%,0%,0,1,1
Nutralite Mayonnaise Veg 275 G,Nutrulite,processed_food,21039030,12%,0%,0,1,1
Nutralite Mayo Cheesy Garlic 275 G,Nutrulite,processed_food,21039030,12%,0%,0,1,1
Nutralite Mayo Veg 30 G,Nutrulite,processed_food,21039030,12%,0%,0,1,1
Buy 11 Butter Popocorn (30gm) get 10 Chowmin Lacha (10gm) Free,NeniMemi,processed_food,1005,12%,0%,0,132,11
Sugar Free Natura Sweet Drops 200 Drops/10 Ml,Sugar Free,beverage_and_confectionary,30049062,12%,0%,0,1,1
Nilon'S Tomato Ketchup 950 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Green Chilli Sauce 180 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Red Chilli Sauce 180 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Vinegar 180 Ml,Nilons,processed_food,2103,18%,0%,0,1,1
Nilon'S Continental Sauce 660 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Macroni Pasta 175 Gm,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Fusilli Pasta 200 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Roasted Cut Vermicelli 90 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Penne Pasta 200 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Sewaiyan 400 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Cut Sewaiyan 400 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S L'Italia Macaroni 350 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Cut Sewaiyan 800 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Macroni Pasta 800 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Fusilli Pasta 800 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Penne Pasta 800 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Sewaiyan 90 G,Nilons,processed_food,1902,12%,0%,0,1,1
Nilon'S Mix Fruit Jam 1 Kg,Nilons,processed_food,2007,18%,0%,0,1,1
Nilon'S Instant Mix Gulab Jamun Buy 1 Get 1 Free 200 Gm,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Szechuan Chutney 250 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Corn Flakes 500 G,Nilons,processed_food,19041010,18%,0%,0,1,1
Nilon'S Crispy Filliows Chocolate 22G,Nilons,beverage_and_confectionary,1704,12%,0%,0,1,1
Nilon'S Soya Sauce 700 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Green Chilli Sauce 680 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Red Chilli Sauce 660 G,Nilons,processed_food,2209,12%,0%,0,1,1
Nilon'S Vinegar 630 G,Nilons,processed_food,2103,18%,0%,0,1,1
Eno Cooling Cool Lemon ,ENO,beverage_and_confectionary,3004,12%,0%,0,1,1
Ching'S Secret Chicken Chilli Masala 20 G,Chings,staple_and_grocery,910,5%,0%,0,1,1
Parle Hide And Seek Choco Rolls 25 G,Parle,beverage_and_confectionary,1704,12%,0%,0,1,1
Parle Grand Londonderry 39.6 G,Parle,beverage_and_confectionary,1704,12%,0%,0,1,1
Parle Maelo 39.6 G,Parle,beverage_and_confectionary,1704,12%,0%,0,1,1
Parle Kaccha Mango Bite 39.6 G,Parle,beverage_and_confectionary,1704,12%,0%,0,1,1
Itc B Natural Pomegranate Juice 1L,Local brand,beverage_and_confectionary,22029020,12%,0%,0,1,1
Itc B Natural Orange Juice 1L,Local brand,beverage_and_confectionary,22029020,12%,0%,0,1,1
Haldiram'S Roasted Vermicelli 450 G,Haldiram,processed_food,1902,5%,0%,0,1,1
