Parent Name ,Brand,Category,HSN,GST,Cess,Surcharge,Brand Case Size,Inner Case Size
"Tropicana - Pineapple Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Pineapple Delight Fruit Juice, 200ml ",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Pomegranate Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Doritos Nacho Cheese, 39gm",Pepsico,processed_food,210690,12%,0%,0,48,8
"Doritos Sweet Chilli, 39gm",Pepsico,processed_food,210690,12%,0%,0,48,8
Kurkure  Namkeen - Puffcorn (Yummy Cheese) - 60 g Pack,Pepsico,processed_food,210690,12%,0%,0,56,8
Kurkure  Namkeen - Masala Munch - 100g Pack,Pepsico,processed_food,210690,12%,0%,0,64,8
Kurkure  Namkeen - Masala Munch - 55 g Pack,Pepsico,processed_food,210690,12%,0%,0,128,10
Kurkure  Namkeen - Puffcorn (Yummy Cheese) - 30 g Pack,Pepsico,processed_food,210690,12%,0%,0,81,10
Kurkure  Namkeen - Masala Munch - 25g Pack,Pepsico,processed_food,2106,12%,0%,0,225,15
Lays Potato Chips - American Style Cream & Onion Flavour - 15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays Potato Chips - Classic Salted - 15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays  Potato Chips - Flirty Tomato Tango - 15gm Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays Potato Chips - Hot n Sweet Chilli -15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
"Lays CRISPZ Herb & Onion, 16g",Pepsico,processed_food,2106,12%,0%,0,160,10
"Lays CRISPZ Herb & Onion, 57g",Pepsico,processed_food,2106,12%,0%,0,48,4
"Lays  Potato Chips - Classic Salted, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
"Lays  Potato Chips - Flirty Tomato Tango, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
Lays  Potato Chips - Naughty Limon - 30 gm Pack,Pepsico,processed_food,2106,12%,0%,0,120,10
"Lays  Potato Chips - American Style Cream & Onion Flavour, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
"Lays  Potato Chips - India Magic Masala, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
Lays  Potato Chips - Hot & Chilli- 30 gm Pack,Pepsico,processed_food,210690,12%,0%,0,120,10
Lays  Potato Chips - Spanish Tomato Tango - 55 gm  Pack,Pepsico,processed_food,210690,12%,0%,0,70,5
Lays  Potato Chips - American Style Cream & Onion Flavour - 55g,Pepsico,processed_food,210690,12%,0%,0,70,5
Lays Potato Chips - Joyful Magic Masala - 55 gm Pack,Pepsico,processed_food,210690,12%,0%,0,70,5
"Lays  Maxx - Sizzling Barbeque, 57gm",Pepsico,processed_food,210690,12%,0%,0,56,1
"Lays  Maxx - Macho Chilli, 57gm",Pepsico,processed_food,210690,12%,0%,0,56,8
"Lays  Maxx - Macho Chilli, 33gm",Pepsico,processed_food,210690,12%,0%,0,48,8
"Lays  Maxx - Hot N Sour Punch, 33gm",Pepsico,processed_food,210690,12%,0%,0,48,8
"Lays  Maxx - Hot N Sour Punch, 57gm",Pepsico,processed_food,210690,12%,0%,0,56,8
"Quaker Oats, 400gm",Pepsico,breakfast_dairy,21069099,12%,0%,0,24,4
Quaker Oats - Homestyle Masala - 40g (With Real Vegetables),Pepsico,breakfast_dairy,2017,18%,0%,0,240,15
Uncle Chipps Spicy Treat - 18g,Pepsico,processed_food,2106,12%,0%,0,192,12
"Limca, 300 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Coke,  250 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,30,30
"Thums Up, 250 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,30,30
"Limca, 250 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,30,30
"Fanta, 250 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,30,1
"Sprite - CAN, 180 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,36,36
"Limca - CAN, 180 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,36,36
"Thums Up - CAN, 180 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,1,36
"Sprite - CAN, 300 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Coke - CAN, 300 ml ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Limca - CAN, 300 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Fanta - CAN, 300 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Sprite, 250 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,30,30
"Coke - CAN, 180 ml ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,36,36
"Fanta - CAN, 180 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,36,36
"Fanta, 300 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Coke, 2.25 Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Thums Up, 2.25 Ltr",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Limca, 2.25 Ltr",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Sprite, 2.25 Ltr  ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Himalayan Water,1ltr",Pepsico,beverage_and_confectionary,22011010,18%,0%,0,1,12
"Kinderjoy - Boys, 20 gm",Ferrero,beverage_and_confectionary,18069010,18%,0%,0,192,1
"Kinderjoy - Girl, 20 gm",Ferrero,beverage_and_confectionary,18069010,18%,0%,0,192,8
Kissan Fresh Tomato Ketchup 12gm,HUL,processed_food,21032000,12%,0%,0,400,1
Taaza Leaf Tea 50g,HUL,beverage_and_confectionary,9023020,5%,0%,0,360,15
"Amulspray Infant Powder Tin, 500 Gm",Amul,processed_food,4020000,5%,0%,0,24,1
"Snickers Mixed Miniatures Chocolate Gift Pack, 150 gm",Mars International,beverage_and_confectionary,18069010,18%,0%,0,1,1
"Snickers Medley Assorted Chocolate Gift Pack, 137.6 gm",Mars International,beverage_and_confectionary,18069010,18%,0%,0,1,1
"Snickers Bar, 25 gm",Mars International,beverage_and_confectionary,1806,18%,0%,0,32,1
"Snickers Chocolate Bar, 50 gm",Mars International,beverage_and_confectionary,18069010,18%,0%,0,576,24
