Shop_name,warehouse_id,Barcode,item_id,product_sku,product_name,category,hsn,Tax_structure,GST_flag,MRP,PTC,Realtime_available_qty,Last90daysaleqty
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906004970023,hd-20200102-0703-28386-093-00000-000,OGCSNGMFD00000001,Milk Food 1 Ltre 8906004970023,staple_and_grocery,4059020,In State GST 12 %,GST-12,498,399,3,4
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906002487400,hd-20200104-0756-05148-093-00000-000,BEVBEVBOO00000004,Boomer Orange Jelly Chewing Gum Big Jar 184 pcs 8906002487400,beverage_and_confectionary,17041000,In State GST 18 %,GST-18,184,119,2,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906006432383,hd-20200107-1303-37818-093-00000-000,HOKHOKKIW00000004,"Kiwi Liquid Shoe Polish Black, 75 ml 8906006432383",home_and_kitchen,3405,In State GST 18 %,GST-18,74,68.99,4,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901192000200_32,hd-20200115-0731-07214-093-00000-000,SCSSNGCAT00000039,"Catch Sprinklers Table Salt, 200 Gm 8901192000200_32",staple_and_grocery,25010010,In State GST 0 %,GST-0,32,25.6,4,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901331003109,hd-20200115-0731-12136-093-00000-000,HOKHOKGPO00000003,Ghadi Detergent Powder 155 gm 8901331003109,home_and_kitchen,34029011,In State GST 18 %,GST-18,10,10,4,7
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8902102194934_65,hd-20200115-0731-35294-093-00000-000,CNDCNDUJA00000001,Ujala Liquid 250 ml 8902102194934_65,home_and_kitchen,32041294,In State GST 18 %,GST-18,65,60.19,4,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901088068741,hd-20200203-1356-35529-093-00000-000,BKCBKCSOI00000005,Saffola Peppy Tomato Masala Oats 40 gm 8901088068741,breakfast_dairy,21069099,In State GST 18 %,GST-18,15,15,1,42
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901023016011,hd-20200208-0402-47410-093-00000-000,ARFHNKAER00000002,Aer Pocket Fresh Lush Green 10 gm 8901023016011,home_and_kitchen,3307,In State GST 18 %,GST-18,55,53,2,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901012121702,hd-20200208-0402-54143-093-00000-000,HEAHEABND00000001,Band-Aid Flexi 10'S (Regular) 8901012121702,health_and_personal_care,30049011,In State GST 12 %,GST-12,20,20,8,7
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901314517999,hd-20200209-0519-20362-093-00000-000,THBDCRCOL00000018,Colgate Slim Soft Charcoal Tooth Brush 4N 8901314517999,health_and_personal_care,33049920,In State GST 18 %,GST-18,150,140,9,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901242176206_20,hd-20200210-1011-35006-093-00000-000,NDPRTCBAM00000001,Bambino Vermicelli 210 gm 8901242176206_20,processed_food,19059040,In State GST 5 %,GST-5,20,15,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725710620_15,hd-20200211-0739-22125-093-00000-000,HMIHNKMGL00000010,Mangaldeep Puja Dhoop Sandal 45 Gm 8901725710620_15,home_and_kitchen,3307,In State GST 5 %,GST-5,15,13.26,8,13
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030703652,hd-20200211-0739-46905-093-00000-000,HCOPREDOV00000008,Dove Hairfall Rescue Conditioner 80 ml 8901030703652,health_and_personal_care,3305,In State GST 18 %,GST-18,90,85,6,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901314507334,hd-20200211-1337-58745-093-00000-000,DCRHPCCOL00000023,Colgate Zig Zag Charchol Tooth Brush 8901314507334,health_and_personal_care,33049920,In State GST 18 %,GST-18,30,30,3,9
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901595862801,hd-20200213-0651-19856-093-00000-000,SASPROCHG00000001,Chings Sauce Green Chilly 90 gm 8901595862801,processed_food,2103,In State GST 12 %,GST-12,20,20,4,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901058844757_45,hd-20200213-0651-38480-093-00000-000,NDPPROMAG00000009,Maggi Cuppa Mania - Masala Yo 8901058844757_45,processed_food,2103,In State GST 12 %,GST-12,45,42.86,2,8
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906037460126_120,hd-20200213-0740-19712-093-00000-000,HNKHNKVLC00000006,"Value Clean Surface Cleaner Lime, 500 ml 8906037460126_120",home_and_kitchen,3402,In State GST 18 %,GST-18,120,120,11,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901207006241_95,hd-20200213-0741-12149-093-00000-000,PKPPROCHW00000004,Dabur Chyawanprash 250 gm 8901207006241_95,processed_food,1902,In State GST 5 %,GST-5,95,90.48,2,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901719220173,hd-20200214-1009-59859-093-00000-000,CONCONPAR00000001,Parle Melody Chocolate 391 gm 8901719220173,beverage_and_confectionary,1704,In State GST 18 %,GST-18,100,90,4,13
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030760648_155,hd-20200225-0544-17075-093-00000-000,HOKHOKVIM00000004,Vim Liquid Yellow Bottle 750 ml 8901030760648_155,home_and_kitchen,3401,In State GST 18 %,GST-18,155,105,4,7
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8908003634029,hd-20200225-0544-27198-093-00000-000,LBCLQCGPH00000003,Gainda Phenyle 5 ltr 8908003634029,home_and_kitchen,38089400,In State GST 18 %,GST-18,350,289,4,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901764011252,hd-20200317-1140-20582-093-00000-000,BNCBNCCOC00000003,Coca-Cola Can 300 ml 8901764011252,beverage_and_confectionary,22021010,In State GST 28 % + Cess 12%,GST-40,35,32,2,6
