Warehouse ID,Product Name,SKU,Expiry Date,Bin ID,Normal Quantity,Damaged Quantity,Expired Quantity,Missing Quantity
34037,"Red Label leaf, 500 gm",BEVBEVRED00000008,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Tata Tea Agni 250gm,TNCBNCTTE00000051,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Nescafe Classic Coffe 100 gm Free Mug Pack,TNCBNCNCF00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Real Fruit Power Apple, 1 ltr",BEVBEVREL00000013,01/01/2024,V2VZ01SR001-0001,5,0,0,0
34037,Dabur Dasmularist 450 Ml,BNCBNCDBR00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Hamdard Safi Natural Blood Purifier 100 ml,DGODGOROO00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Horlicks Health Drink Classic Malt Jar 500 gm,HEDBNCHOR00000009,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,Horlicks Jar 1 kg,BNCBNCHOR00000011,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Eno Orange Flavour Jar 100 gm,DGODGOENO00000001,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,Horlicks Protein Plus Vanilla Flavour 400  gm,HEDBNCHOR00000035,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,"Limca, 750 ml",BEVBEVLIM00000011,01/01/2024,V2VZ01SR001-0001,14,0,0,0
34037,"Limca, 1.25 Ltr",CBDBNCLIM00000001,01/01/2024,V2VZ01SR001-0001,9,0,0,0
34037,"Appy Fizz, 160 ml (Bottle) Mrp 10",JMTBNCAPP00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,SATISABGOL 100GM,BNCBNCSAT00000004,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Real Juice - Orange, 200ml",BEVBEVREL00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,BRU COFFEE GOLD JAR 50g,TNCBNCBRU00000002,01/01/2024,V2VZ01SR001-0001,1,0,0,0
34037,Lipton Green Tea Honey Lemon 25 N,TNCBNCLIP00000021,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Tata Tea Premium Desh Ki Chai 100 gm,TNCBNCTTE00000013,01/01/2024,V2VZ01SR001-0001,44,0,0,0
34037,Tata Agni Leaf  Tea 1 kg,BVRBVRTTE00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Real Juice - Guava, 1 ltr",BEVBEVREL00000016,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Hajmola Candy Pudina 120 N,DGODGOHAJ00000002,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,"Five Star, 10.1gm",BEVBEVFIV00000001,01/01/2024,V2VZ01SR001-0001,22,0,0,0
34037,"Hamdard Roohafza Sharbat, 750 ml",BEVBEVROO00000001,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,GluconD Orange 500g,BEVBEVCOM00000032,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,Horlicks Health Drink Jar 200 Gm,BNCBNCHOR00000005,01/01/2024,V2VZ01SR001-0001,9,0,0,0
34037,Horlicks Mothers Powder 500 gm,HEDBNCHOR00000033,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Coke, 1.25 Ltr",CBDBNCCOC00000002,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,"Real Juice -  Mixed fruit, 200ml",BEVBEVREL00000006,01/01/2024,V2VZ01SR001-0001,38,0,0,0
34037,Frooti 2l,LQDBVRFRO00000002,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Patanjali Karela Amla Juice 500 ml,JMTBNCPAT00000005,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Today Tea Premium 250 gm,TNCBNCTDY00000007,01/01/2024,V2VZ01SR001-0001,11,0,0,0
34037,Radha Eco Tea 250Gm,BNCBNCLOC00000015,01/01/2024,V2VZ01SR001-0001,9,0,0,0
34037,Center Fresh Liquid Filled Gum 3.2 G,BNCBNCFRE00000005,01/01/2024,V2VZ01SR001-0001,18,0,0,0
34037,Melody Choclatey Candy,BNCBNCPAR00000005,01/01/2024,V2VZ01SR001-0001,1536,0,0,0
34037,Vicks Cough Drops Ginger,HPCHPCVIC00000020,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Choclairs Gold Pouch, 6.2gm",BEVBEVCHO00000001,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,BOURNVITA HEALTH DRINK PP 500g,BVRBVRCAD00000008,01/01/2024,V2VZ01SR001-0001,21,0,0,0
34037,Cadbury Bournvita Health Drink Jar 500 gm,PDMBVRBON00000004,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,"Nescafe Classic Jar, 25 gm",TNCPDMNCF00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,RED LABEL CTC TEA REG CT 500g,BVRBVRHUL00000002,01/01/2024,V2VZ01SR001-0001,25,0,0,0
34037,Brooke Bond Red Label Nature Care Tea 500 gm,TNCBNCRED00000004,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,Brooke Bond Taaza Masala Chaska 250 gm,BEVBEVHUL00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Lipton green tea honey lemon 10 tea bags,BNCBNCLIP00000007,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,TATA Tea Premium 250gm,TNCBNCTTE00000006,01/01/2024,V2VZ01SR001-0001,85,0,0,0
34037,"Fuse, 27.5gm",BEVBEVFUZ00000001,01/01/2024,V2VZ01SR001-0001,16,0,0,0
34037,Cadbury Dairy Milk Silk Oreo Chocolate 60 gm,BNCBNCCDM00000010,01/01/2024,V2VZ01SR001-0001,9,0,0,0
34037,Cadbury Temptations Chocolate Rum & Raisin 72 gm,CHOBNCCAD00000006,01/01/2024,V2VZ01SR001-0001,1,0,0,0
34037,Horlicks Classic Malt 500 G,BNCBNCHOR00000008,01/01/2024,V2VZ01SR001-0001,19,0,0,0
34037,Horlicks Protein Plus  Chocolate Flavour 400  gm,HEDBNCHOR00000034,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Jelimals Jelly Bears Chota Bheem Orenge And Pineapple Flavoured 30 gm,BFDSNGLOC00000003,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Sprite, 1.25 Ltr",CBDBNCSPR00000001,01/01/2024,V2VZ01SR001-0001,45,0,0,0
34037,FROOTI NON AERATED COOL MANGO 1.2,BVRBVRFRO00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Registered Sat-Isabgol 50 gm,DGODGOSAT00000003,01/01/2024,V2VZ01SR001-0001,11,0,0,0
34037,Patanjali Shilajit Capsule (20 Capsules ),CHCCNFPAT00000004,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,Patanjali Aloevera Juice With Fiber 1 ltr,JMTBNCPAT00000001,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Saburi Gold Tea 1 kg,TNCBNCSAB00000001,01/01/2024,V2VZ01SR001-0001,1,0,0,0
34037,Saburi Special Tea 250Gm,BNCBNCLOC00000148,01/01/2024,V2VZ01SR001-0001,44,0,0,0
34037,Cadbury Celebrations Assorted Chocolate Gift Pack 36.7 gm,CHCCNFCAD00000004,01/01/2024,V2VZ01SR001-0001,12,0,0,0
34037,Organic India Tulsi Green Tea Classic 25N,BNCBNCORG00000001,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,Nestle Milkybar Chocolate 20 Gm ,BNCBNCMIK00000005,01/01/2024,V2VZ01SR001-0001,26,0,0,0
34037,"Nescafe Classic - Pouch, 7.5 gm",BEVBEVNCF00000001,01/01/2024,V2VZ01SR001-0001,189,0,0,0
34037,Taj Mahal NS 100gm with flash,TNCBNCTAJ00000001,01/01/2024,V2VZ01SR001-0001,13,0,0,0
34037,TATA TEA Premium E 50 GM ,TNCBNCTTE00000010,01/01/2024,V2VZ01SR001-0001,50,0,0,0
34037,Nestle Kit Kat Truffle 50 Gm,CHCCNFKIT00000003,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,"Nescafe Classic - Pouch, 1.5 gm",BEVBEVNCF00000002,01/01/2024,V2VZ01SR001-0001,175,0,0,0
34037,Hersheys Syrup Chocolate 623 gm,LQDBNCHER00000003,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,Lotte choco pie 336gm,CHCCNFLOT00000001,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,Real Litchi Juice 180Ml,BNCBNCREL00000003,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Dabur Hajmola Regular Tablet,120 Tablet",HEAHEAHAJ00000001,01/01/2024,V2VZ01SR001-0001,17,0,0,0
34037,Amul Dark Chocolate 40G,BNCBNCAMU00000015,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Morton Pineapple Juice Drink  220 Ml,JMTBNCMOR00000005,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Glucon-D Tangy Orange Free Bottle Worth Rs.140 1 Kg,BNCBNCGLU00000004,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,Horlicks Mothers's Vanilla Flavour 500 gm,HEDBNCHOR00000018,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Mountain Dew 1.0 ltr,BVRBVRMDE00000002,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,Appy Fizz Juice Drink 600ml,BVRBVRPAG00000001,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,"Appy Fizz, 600 ml",BEVBEVAPP00000003,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,Woodwards Celebrated Gripe  Water 200 ml,LQDBNCWOO00000001,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,Reqistered Sat Isabgol Psyllium Husk 200 gm,DGODGOSAT00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Patanjali Godhan Ark 450 Ml,BNCBNCPAT00000005,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,Patanjali Pachak Anardana Goli 100 gm,DGODGOPAT00000005,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Priyagold Freshgold Mix Fruit Juice, 1 ltr",JMTLQDPRI00000004,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Protinex Original 400 gm,HEDBNCPRT00000002,01/01/2024,V2VZ01SR001-0001,1,0,0,0
34037,Cintu Choco Eclairs 400 gm,CHCCNFCHI00000001,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,Dairy Milk Fruit And Nut 36 Gm,BNCBNCCDM00000012,01/01/2024,V2VZ01SR001-0001,12,0,0,0
34037,Bournvita Little Champs Pro-Health Drink Jar 500 gm,PDMBVRBON00000012,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Red Label A Poly with flash 100 gm,TNCBNCRED00000003,01/01/2024,V2VZ01SR001-0001,15,0,0,0
34037,"Lipton Green Tea Tulsi Natural,( 25 Tea Bags)",TNCBNCLIP00000020,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Tata Tea Gold 50 Gm ,BNCBNCTAZ00000001,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Tata Tea Premium 250gm,TNCBNCTTE00000053,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Tata Tea Premium, 500 Gm Jar",TNCBNCTTE00000029,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,Tetley Green Tea 100 gm,TNCBNCTET00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,REAL APPLE MINI JUICE 125ML,BNCBNCREL00000008,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,DABUR HAJMOLA TABLET IMLI 120 S,OTCDGOHAJ00000003,01/01/2024,V2VZ01SR001-0001,5,0,0,0
34037,Horlicks Lite Jar 500 gm,HEDBNCHOR00000029,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Horlicks Health Drink Chocolate Refill 500 gm,BVRBVRHOR00000003,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,"Parle Orange Bite, 289gm -50 piece box",CANCONPAR00000006,01/01/2024,V2VZ01SR001-0001,14,0,0,0
34037,Real Active Mixed Juice 1 Ltr,JMTBNCREL00000010,01/01/2024,V2VZ01SR001-0001,17,0,0,0
34037,Mirinda Orange 475 ml,CBDBNCMIR00000001,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,"Mountain Dew, 750 ml",BEVBEVMDE00000012,01/01/2024,V2VZ01SR001-0001,15,0,0,0
34037,Frooti 2l,LQDBNCFRO00000003,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,"Appy Fizz, 1 ltr",CBDLQDAPP00000001,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,Patanjali Pchak Hing Peda 100 gm,OTCDGOPAT00000002,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,HERSHEYS CREAMY MILK 40GM,BNCBNCHER00000005,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Cadbury Bournvita Health Drink Jar 200 gm,PDMBVRBON00000007,01/01/2024,V2VZ01SR001-0001,3,0,0,0
34037,Brooke Bond Taaza Masala Chaska 250 gm,TNCBNCTAZ00000004,01/01/2024,V2VZ01SR001-0001,21,0,0,0
34037,Lipton Green Tea Pure & Light 25 N ,BNCBNCLIP00000002,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,Tata Tea Premium Leaf 250 gm,TNCBNCTTE00000022,01/01/2024,V2VZ01SR001-0001,77,0,0,0
34037,Tata Tea Premium Poly Pack 1 kg,TNCBNCTTE00000017,01/01/2024,V2VZ01SR001-0001,4,0,0,0
34037,Tata Tea Premium 1 kg,BEVBEVTTE00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,TATA AGNI LEAF 1KG,TNCBNCTTE00000002,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Tata Tea Elaichi Chai 250 gm,BNCBNCTAT00000010,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,Bournvita 75 gm,BEVBEVBON00000008,01/01/2024,V2VZ01SR001-0001,9,0,0,0
34037,Cadbury Dairy Milk Silk Chocolate 60 gm,CHCCNFCDM00000006,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,Hamdard Rogan Badam Shirin 100 Ml ,BNCBNCROO00000001,01/01/2024,V2VZ01SR001-0001,2,0,0,0
34037,Complan Health Drink Royale Chocolate 200 gm,HEDBNCCOM00000002,01/01/2024,V2VZ01SR001-0001,8,0,0,0
34037,Glucon-D Nimbu Pani 450 Free Lunch Box,BNCBNCGLU00000002,01/01/2024,V2VZ01SR001-0001,7,0,0,0
34037,HORLICKS CHOCOLATE 500G REFILL,HEDBNCHOR00000002,01/01/2024,V2VZ01SR001-0001,5,0,0,0
34037,Women Horlicks Caramel Powder Jar 330 gm,HEDBNCHOR00000031,01/01/2024,V2VZ01SR001-0001,0,0,0,0
34037,"Coke, 2 Ltr",CBDBNCCOC00000003,01/01/2024,V2VZ01SR001-0001,6,0,0,0
34037,"Mountain Dew, 2.25 Ltr",BEVBEVMDE00000010,01/01/2024,V2VZ01SR001-0001,7,0,0,0
